Source	Target
ARGLU1	RBM26
ARGLU1	SNRNP70
ARGLU1	PNISR
ARHGAP15	HACD3
ARHGAP15	SCD
ARHGAP15	ARHGAP25
ARHGAP15	DOCK2
ARHGAP15	FAM155A
ARHGAP15	RAC1
ARHGAP15	GTDC1
ARHGAP17	STXBP1
ARHGAP17	DIAPH2
ARHGAP17	TNK2
ARHGAP17	PACSIN1
ARHGAP17	RAC1
ARHGAP17	SH3KBP1
ARHGAP17	PARD3
ARHGAP22	RAC1
ARHGAP22	YWHAB
ARHGAP22	PLXDC2
ARHGAP22	NAV2
ARHGAP22	DOCK10
ARHGAP24	RASA1
ARHGAP24	MYO1E
ARHGAP24	RAC1
ARHGAP24	ARHGDIA
ARHGAP25	ATG7
ARHGAP25	RAC1
ARHGAP26	RHOB
ARHGAP26	RASA1
ARHGAP26	NF1
ARHGAP26	RAC1
ARHGAP26	OSBPL3
ARHGAP26	GRID2
ARHGAP26	SMURF1
ARHGAP26	CNTNAP2
ARHGAP26	DPP10
ARHGAP26	PNMA2
ARHGAP26	DTNA
ARHGAP31	RASA1
ARHGAP31	FMNL3
ARHGAP31	SH3RF3
ARHGAP31	RAC1
ARHGAP32	RHOB
ARHGAP32	RASA1
ARHGAP32	GABARAP
ARHGAP32	GAB2
ARHGAP32	CNTNAP2
ARHGAP32	CMIP
ARHGAP32	CAMK2A
ARHGAP32	GPHN
ARHGAP32	YWHAZ
ARHGAP32	DLG4
ARHGAP32	RAC1
ARHGAP42	PLEKHA7
ARHGAP42	RAC1
ARHGDIA	PEBP1
ARHGDIA	RHOB
ARHGDIA	TIAM1
ARHGDIA	MYO1E
ARHGDIA	YWHAG
ARHGDIA	NRIP1
ARHGDIA	LINGO1
ARHGDIA	RAC1
ARHGDIA	NR3C2
ARHGDIA	MSN
ARHGDIA	RAP1A
ARHGDIA	YWHAB
ARHGDIA	GAPDH
ARHGDIA	GDI1
ARHGDIA	BRAF
ARHGDIA	CFL1
ARHGDIA	ENC1
ARID1A	MACROD2
ARID1A	FUS
ARID1A	H3-3B
ARID1A	SYT1
ARID1A	SMAD2
ARID1A	CDK6
ARID1A	KIT
ARID1A	HNRNPU
ARID1A	RACK1
ARID1A	JARID2
ARID1A	RPRD2
ARID1A	TGFBR2
ARID1A	NCOA2
ARID1A	HDAC9
ARID1A	GNAS
ARID1A	LRP1B
ARID1A	EWSR1
ARID1A	NCOA1
ARID1A	NF1
ARID1A	KDM6A
ARID1A	BRAF
ARID1A	ARID2
ARID1A	ARID1B
ARID1A	SMARCA2
ARID1A	PBRM1
ARID1B	FUS
ARID1B	SMAD2
